name,id,team,position_id,points_round_1,points_round_2,points_round_3,points_round_4,points_round_5,price_round_1,price_round_2,price_round_3,price_round_4,price_round_5,Man of the match,num_matches,Tackles,Dominant tackles,Line-breaks,Metres carried,Kick 50-22,Lineout steal,Breakdown steal,Try,Assists,Conversion,Penalty,Drop goal,Yellow cards,Red cards ,position,played_round_1,points_to_price_round_1,played_round_2,points_to_price_round_2,played_round_3,points_to_price_round_3,played_round_4,points_to_price_round_4,played_round_5,points_to_price_round_5,latest_price,total_points_all_rounds,points_per_round_all_rounds,total_points_to_latest_price_ratio
James Lowe,420,Ireland,6,63.4,52.8,91.2,71.0,52.2,18.3,18.5,19.9,20.7,20.9,0.0,5.0,13.0,5.0,10.0,533.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,back-three,True,3.4644808743169397,True,2.8540540540540538,True,4.582914572864322,True,3.429951690821256,True,2.4976076555023927,20.9,330.59999999999997,66.11999999999999,3.1636363636363636
Thomas Ramos,108,France,6,53.4,45.0,87.6,93.2,75.2,14.9,15.7,17.9,19.3,20.2,1.0,5.0,6.0,2.0,5.0,502.0,0.0,0.0,0.0,3.0,2.0,18.0,10.0,1.0,0.0,0.0,back-three,True,3.5838926174496644,True,2.8662420382165608,True,4.893854748603352,True,4.829015544041451,True,3.722772277227723,20.2,354.4,70.88,3.508910891089109
Antoine Dupont,113,France,9,44.4,49.0,44.8,55.9,38.9,19.9,20.0,19.9,20.4,20.1,1.0,5.0,50.0,2.0,4.0,253.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,scrum-half,True,2.2311557788944723,True,2.45,True,2.251256281407035,True,2.7401960784313726,True,1.9353233830845769,20.1,233.0,46.6,2.318407960199005
Hugo Keenan,292,Ireland,6,40.2,98.0,57.8,44.4,27.0,17.3,18.9,19.3,19.2,19.3,1.0,5.0,15.0,2.0,4.0,562.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,back-three,True,2.323699421965318,True,5.185185185185186,True,2.9948186528497405,True,2.3125,True,1.398963730569948,19.3,267.4,53.48,2.770984455958549
Damian Penaud,114,France,6,49.2,52.8,15.8,73.2,86.4,18.1,18.3,16.5,18.1,19.3,0.0,5.0,21.0,2.0,7.0,397.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,back-three,True,2.718232044198895,True,2.885245901639344,True,0.9575757575757576,True,4.044198895027624,True,4.476683937823834,19.3,277.4,55.48,2.8746113989637303
Dan Sheehan,324,Ireland,13,58.1,0.0,19.4,5.8,96.8,16.2,15.9,16.3,16.2,19.0,1.0,4.0,18.0,4.0,5.0,143.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,hooker,True,3.58641975308642,False,0.0,True,1.1901840490797544,True,0.35802469135802467,True,5.094736842105263,19.0,180.1,45.025,2.369736842105263
Mack Hansen,322,Ireland,6,40.8,25.6,98.0,95.8,30.4,14.4,14.1,16.7,19.3,18.4,2.0,5.0,19.0,2.0,7.0,328.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,back-three,True,2.833333333333333,True,1.8156028368794328,True,5.868263473053893,True,4.963730569948186,True,1.6521739130434783,18.4,290.59999999999997,58.11999999999999,3.158695652173913
Finn Russell,83,Scotland,8,53.0,90.6,75.4,19.6,0.0,16.8,19.1,20.0,18.4,18.0,1.0,4.0,30.0,1.0,1.0,338.0,2.0,0.0,0.0,1.0,4.0,9.0,3.0,0.0,0.0,0.0,fly-half,True,3.1547619047619047,True,4.7434554973821985,True,3.7700000000000005,True,1.065217391304348,False,0.0,18.0,238.6,59.65,3.3138888888888887
Jonathan Sexton,53,Ireland,8,42.8,46.8,0.0,31.4,48.5,18.1,18.7,18.3,17.8,18.0,0.0,4.0,23.0,1.0,2.0,203.0,0.0,0.0,2.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,fly-half,True,2.3646408839779003,True,2.5026737967914436,False,0.0,True,1.7640449438202246,True,2.6944444444444446,18.0,169.5,42.375,2.3541666666666665
Gael Fickou,106,France,7,37.2,30.6,71.0,44.8,54.4,16.2,16.1,17.7,17.6,17.9,1.0,5.0,65.0,2.0,2.0,305.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,centres,True,2.2962962962962967,True,1.9006211180124222,True,4.011299435028249,True,2.545454545454545,True,3.039106145251397,17.9,238.00000000000003,47.60000000000001,2.6592178770949726
